Image,Strategy,ML_Sens,ML_F1,ML_Gm,DL_Sens,DL_F1,DL_Gm
im0004.ppm,None,0.4423,0.4256,0.6474,0.8616,0.6697,0.9006
im0004.ppm,Clean_40,0.3671,0.4331,0.5977,0.8608,0.6705,0.9004
im0004.ppm,Close_Clean_40,0.4120,0.4598,0.6317,0.8670,0.6683,0.9028
im0004.ppm,Open_Clean_40,0.2871,0.3756,0.5305,0.8542,0.6750,0.8981
im0004.ppm,Clean_100,0.3441,0.4151,0.5789,0.8596,0.6710,0.8999
im0082.ppm,None,0.8150,0.7140,0.8667,0.8288,0.7328,0.8767
im0082.ppm,Clean_40,0.7803,0.7359,0.8578,0.8264,0.7327,0.8757
im0082.ppm,Close_Clean_40,0.8060,0.7342,0.8680,0.8310,0.7290,0.8767
im0082.ppm,Open_Clean_40,0.7402,0.7280,0.8390,0.8188,0.7366,0.8737
im0082.ppm,Clean_100,0.7731,0.7334,0.8542,0.8228,0.7325,0.8743
im0163.ppm,None,0.9156,0.7228,0.9070,0.9098,0.8075,0.9265
im0163.ppm,Clean_40,0.8995,0.7809,0.9164,0.9080,0.8082,0.9259
im0163.ppm,Close_Clean_40,0.9254,0.7636,0.9217,0.9142,0.8057,0.9278
im0163.ppm,Open_Clean_40,0.8576,0.7817,0.9001,0.8996,0.8120,0.9235
im0163.ppm,Clean_100,0.8921,0.7803,0.9133,0.9042,0.8084,0.9245
im0240.ppm,None,0.6606,0.5924,0.7666,0.7758,0.7838,0.8632
im0240.ppm,Clean_40,0.6061,0.6532,0.7594,0.7743,0.7838,0.8626
im0240.ppm,Close_Clean_40,0.6616,0.6600,0.7859,0.7814,0.7840,0.8656
im0240.ppm,Open_Clean_40,0.5351,0.6270,0.7192,0.7671,0.7851,0.8598
im0240.ppm,Clean_100,0.5782,0.6403,0.7434,0.7699,0.7828,0.8605
im0291.ppm,None,0.6062,0.6200,0.7691,0.8136,0.7576,0.8915
im0291.ppm,Clean_40,0.5647,0.6285,0.7454,0.8110,0.7572,0.8902
im0291.ppm,Close_Clean_40,0.5948,0.6387,0.7641,0.8165,0.7556,0.8927
im0291.ppm,Open_Clean_40,0.4956,0.6026,0.7003,0.8055,0.7597,0.8876
im0291.ppm,Clean_100,0.5476,0.6207,0.7345,0.8106,0.7574,0.8900
MEAN,Clean_100,0.6270,0.6380,0.7649,0.8334,0.7504,0.8898
MEAN,Clean_40,0.6436,0.6463,0.7753,0.8361,0.7505,0.8910
MEAN,Close_Clean_40,0.6800,0.6513,0.7943,0.8420,0.7485,0.8931
MEAN,None,0.6879,0.6150,0.7913,0.8379,0.7503,0.8917
MEAN,Open_Clean_40,0.5831,0.6230,0.7378,0.8290,0.7537,0.8886
