Image,BaselineNew_Acc,BaselineNew_Sens,BaselineNew_Spec,BaselineNew_F1,BaselineNew_Gm,MLv3_Acc,MLv3_Sens,MLv3_Spec,MLv3_F1,MLv3_Gm,DLNew_Acc,DLNew_Sens,DLNew_Spec,DLNew_F1,DLNew_Gm
im0001.ppm,0.8079,0.7907,0.8098,0.4425,0.8002,0.8513,0.8845,0.8477,0.5341,0.8659,0.9356,0.8867,0.9408,0.7263,0.9133
im0002.ppm,0.8892,0.7630,0.8969,0.4435,0.8273,0.8193,0.8057,0.8201,0.3405,0.8129,0.9531,0.8427,0.9598,0.6752,0.8994
im0003.ppm,0.8604,0.7857,0.8651,0.4022,0.8245,0.8282,0.8244,0.8284,0.3644,0.8264,0.9503,0.7504,0.9630,0.6433,0.8501
im0005.ppm,0.8743,0.7806,0.8869,0.5968,0.8320,0.8607,0.8617,0.8605,0.5959,0.8611,0.9216,0.8559,0.9305,0.7225,0.8924
im0044.ppm,0.8787,0.7529,0.8956,0.5947,0.8212,0.8841,0.8357,0.8906,0.6302,0.8627,0.9331,0.8109,0.9494,0.7411,0.8774
im0077.ppm,0.8811,0.8008,0.8951,0.6665,0.8466,0.8941,0.8922,0.8944,0.7143,0.8933,0.9236,0.8657,0.9337,0.7709,0.8991
im0081.ppm,0.8781,0.7439,0.9009,0.6386,0.8186,0.8594,0.8660,0.8583,0.6406,0.8621,0.9251,0.8205,0.9428,0.7604,0.8796
im0139.ppm,0.8672,0.6681,0.9049,0.6155,0.7775,0.8636,0.8584,0.8645,0.6668,0.8615,0.9276,0.8209,0.9478,0.7830,0.8821
im0162.ppm,0.9198,0.7533,0.9458,0.7175,0.8441,0.8969,0.8714,0.9009,0.6957,0.8860,0.9208,0.8025,0.9393,0.7326,0.8682
im0235.ppm,0.8594,0.7479,0.8832,0.6521,0.8127,0.9014,0.8693,0.9083,0.7565,0.8885,0.9257,0.8458,0.9428,0.8006,0.8930
im0236.ppm,0.8598,0.7577,0.8797,0.6375,0.8164,0.9016,0.8802,0.9057,0.7442,0.8929,0.9309,0.8746,0.9419,0.8046,0.9076
im0239.ppm,0.8823,0.7249,0.9077,0.6312,0.8112,0.8911,0.8524,0.8974,0.6850,0.8746,0.9398,0.8593,0.9528,0.7986,0.9049
im0255.ppm,0.8768,0.7643,0.8948,0.6314,0.8270,0.9079,0.8617,0.9153,0.7209,0.8881,0.9339,0.8197,0.9522,0.7741,0.8835
im0319.ppm,0.9030,0.6966,0.9189,0.5063,0.8001,0.8863,0.8394,0.8899,0.5132,0.8643,0.9605,0.7772,0.9746,0.7376,0.8703
im0324.ppm,0.8873,0.5774,0.9267,0.5363,0.7315,0.8266,0.7998,0.8300,0.5101,0.8147,0.9387,0.8541,0.9495,0.7589,0.9006
ŚREDNIA (MEAN),0.8750,0.7405,0.8941,0.5808,0.8127,0.8715,0.8535,0.8741,0.6075,0.8637,0.9347,0.8325,0.9481,0.7486,0.8881
